The Shawshank Redemption|(1994)|9.2
The Godfather|(1994)|9.2
The Godfather: Part II|(1994)|9.2
The Dark Knight|(1994)|9.2
12 Angry Men|(1994)|9.2
Schindler's List|(1994)|9.2
The Lord of the Rings: The Return of the King|(1994)|9.2
Pulp Fiction|(1994)|9.2
The Good, the Bad and the Ugly|(1994)|9.2
The Lord of the Rings: The Fellowship of the Ring|(1994)|9.2
Fight Club|(1994)|9.2
Forrest Gump|(1994)|9.2
Inception|(1994)|9.2
Star Wars: Episode V - The Empire Strikes Back|(1994)|9.2
The Lord of the Rings: The Two Towers|(1994)|9.2
The Matrix|(1994)|9.2
Goodfellas|(1994)|9.2
One Flew Over the Cuckoo's Nest|(1994)|9.2
Seven Samurai|(1994)|9.2
Se7en|(1994)|9.2
City of God|(1994)|9.2
Life Is Beautiful|(1994)|9.2
The Silence of the Lambs|(1994)|9.2
It's a Wonderful Life|(1994)|9.2
Star Wars: Episode IV - A New Hope|(1994)|9.2
Parasite|(1994)|9.2
Saving Private Ryan|(1994)|9.2
Spirited Away|(1994)|9.2
The Green Mile|(1994)|9.2
Joker|(1994)|9.2
Interstellar|(1994)|9.2
Léon: The Professional|(1994)|9.2
Harakiri|(1994)|9.2
The Usual Suspects|(1994)|9.2
The Lion King|(1994)|9.2
American History X|(1994)|9.2
Back to the Future|(1994)|9.2
Terminator 2: Judgment Day|(1994)|9.2
The Pianist|(1994)|9.2
Modern Times|(1994)|9.2
Psycho|(1994)|9.2
Gladiator|(1994)|9.2
City Lights|(1994)|9.2
The Intouchables|(1994)|9.2
The Departed|(1994)|9.2
Whiplash|(1994)|9.2
1917|(1994)|9.2
Once Upon a Time in the West|(1994)|9.2
The Prestige|(1994)|9.2
Casablanca|(1994)|9.2
Grave of the Fireflies|(1994)|9.2
Rear Window|(1994)|9.2
Cinema Paradiso|(1994)|9.2
Alien|(1994)|9.2
Raiders of the Lost Ark|(1994)|9.2
Apocalypse Now|(1994)|9.2
Memento|(1994)|9.2
The Great Dictator|(1994)|9.2
The Lives of Others|(1994)|9.2
Django Unchained|(1994)|9.2
Avengers: Endgame|(1994)|9.2
Avengers: Infinity War|(1994)|9.2
The Shining|(1994)|9.2
Paths of Glory|(1994)|9.2
WALL·E|(1994)|9.2
Spider-Man: Into the Spider-Verse|(1994)|9.2
Sunset Blvd.|(1994)|9.2
Princess Mononoke|(1994)|9.2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|(1994)|9.2
Oldboy|(1994)|9.2
Witness for the Prosecution|(1994)|9.2
The Dark Knight Rises|(1994)|9.2
Once Upon a Time in America|(1994)|9.2
Aliens|(1994)|9.2
Your Name.|(1994)|9.2
American Beauty|(1994)|9.2
Coco|(1994)|9.2
Braveheart|(1994)|9.2
High and Low|(1994)|9.2
Das Boot|(1994)|9.2
3 Idiots|(1994)|9.2
Star Wars: Episode VI - Return of the Jedi|(1994)|9.2
Taare Zameen Par|(1994)|9.2
Toy Story|(1994)|9.2
Amadeus|(1994)|9.2
Reservoir Dogs|(1994)|9.2
Inglourious Basterds|(1994)|9.2
Good Will Hunting|(1994)|9.2
2001: A Space Odyssey|(1994)|9.2
M|(1994)|9.2
Requiem for a Dream|(1994)|9.2
Vertigo|(1994)|9.2
Dangal|(1994)|9.2
Eternal Sunshine of the Spotless Mind|(1994)|9.2
Citizen Kane|(1994)|9.2
The Hunt|(1994)|9.2
Full Metal Jacket|(1994)|9.2
North by Northwest|(1994)|9.2
A Clockwork Orange|(1994)|9.2
Snatch|(1994)|9.2
The Kid|(1994)|9.2
Bicycle Thieves|(1994)|9.2
Scarface|(1994)|9.2
Singin' in the Rain|(1994)|9.2
Amélie|(1994)|9.2
Taxi Driver|(1994)|9.2
Lawrence of Arabia|(1994)|9.2
Toy Story 3|(1994)|9.2
The Sting|(1994)|9.2
Metropolis|(1994)|9.2
Capernaum|(1994)|9.2
For a Few Dollars More|(1994)|9.2
A Separation|(1994)|9.2
Ikiru|(1994)|9.2
Double Indemnity|(1994)|9.2
To Kill a Mockingbird|(1994)|9.2
The Apartment|(1994)|9.2
Indiana Jones and the Last Crusade|(1994)|9.2
Up|(1994)|9.2
Incendies|(1994)|9.2
L.A. Confidential|(1994)|9.2
Monty Python and the Holy Grail|(1994)|9.2
Heat|(1994)|9.2
Die Hard|(1994)|9.2
Rashomon|(1994)|9.2
Yojimbo|(1994)|9.2
Batman Begins|(1994)|9.2
Green Book|(1994)|9.2
Unforgiven|(1994)|9.2
Downfall|(1994)|9.2
Children of Heaven|(1994)|9.2
Some Like It Hot|(1994)|9.2
Howl's Moving Castle|(1994)|9.2
My Neighbor Totoro|(1994)|9.2
The Great Escape|(1994)|9.2
Ran|(1994)|9.2
Ford v Ferrari|(1994)|9.2
All About Eve|(1994)|9.2
A Beautiful Mind|(1994)|9.2
Come and See|(1994)|9.2
Casino|(1994)|9.2
Pan's Labyrinth|(1994)|9.2
Raging Bull|(1994)|9.2
The Secret in Their Eyes|(1994)|9.2
Lock, Stock and Two Smoking Barrels|(1994)|9.2
The Wolf of Wall Street|(1994)|9.2
The Treasure of the Sierra Madre|(1994)|9.2
Judgment at Nuremberg|(1994)|9.2
Three Billboards Outside Ebbing, Missouri|(1994)|9.2
My Father and My Son|(1994)|9.2
Chinatown|(1994)|9.2
The Gold Rush|(1994)|9.2
There Will Be Blood|(1994)|9.2
Dial M for Murder|(1994)|9.2
V for Vendetta|(1994)|9.2
Inside Out|(1994)|9.2
The Seventh Seal|(1994)|9.2
Warrior|(1994)|9.2
No Country for Old Men|(1994)|9.2
Trainspotting|(1994)|9.2
The Elephant Man|(1994)|9.2
Room|(1994)|9.2
Shutter Island|(1994)|9.2
The Sixth Sense|(1994)|9.2
The Thing|(1994)|9.2
Gone with the Wind|(1994)|9.2
Blade Runner|(1994)|9.2
The Bridge on the River Kwai|(1994)|9.2
Jurassic Park|(1994)|9.2
The Third Man|(1994)|9.2
On the Waterfront|(1994)|9.2
Finding Nemo|(1994)|9.2
Wild Strawberries|(1994)|9.2
Klaus|(1994)|9.2
Andhadhun|(1994)|9.2
Fargo|(1994)|9.2
Gran Torino|(1994)|9.2
Kill Bill: Vol. 1|(1994)|9.2
The Deer Hunter|(1994)|9.2
The Bandit|(1994)|9.2
Tokyo Story|(1994)|9.2
The Truman Show|(1994)|9.2
Stalker|(1994)|9.2
Wild Tales|(1994)|9.2
The Big Lebowski|(1994)|9.2
Mary and Max|(1994)|9.2
In the Name of the Father|(1994)|9.2
Gone Girl|(1994)|9.2
Memories of Murder|(1994)|9.2
Hacksaw Ridge|(1994)|9.2
Mr. Smith Goes to Washington|(1994)|9.2
The General|(1994)|9.2
How to Train Your Dragon|(1994)|9.2
The Grand Budapest Hotel|(1994)|9.2
Sherlock Jr.|(1994)|9.2
Marriage Story|(1994)|9.2
Persona|(1994)|9.2
Before Sunrise|(1994)|9.2
Catch Me If You Can|(1994)|9.2
Prisoners|(1994)|9.2
Cool Hand Luke|(1994)|9.2
12 Years a Slave|(1994)|9.2
Into the Wild|(1994)|9.2
The Wages of Fear|(1994)|9.2
Network|(1994)|9.2
Stand by Me|(1994)|9.2
Mad Max: Fury Road|(1994)|9.2
Monty Python's Life of Brian|(1994)|9.2
Platoon|(1994)|9.2
Barry Lyndon|(1994)|9.2
The Passion of Joan of Arc|(1994)|9.2
Million Dollar Baby|(1994)|9.2
Hachi: A Dog's Tale|(1994)|9.2
Rush|(1994)|9.2
Logan|(1994)|9.2
Ben-Hur|(1994)|9.2
Rang De Basanti|(1994)|9.2
Andrei Rublev|(1994)|9.2
Nausicaä of the Valley of the Wind|(1994)|9.2
Harry Potter and the Deathly Hallows: Part 2|(1994)|9.2
The 400 Blows|(1994)|9.2
Dead Poets Society|(1994)|9.2
Hotel Rwanda|(1994)|9.2
Amores Perros|(1994)|9.2
Spotlight|(1994)|9.2
The Red Shoes|(1994)|9.2
Rebecca|(1994)|9.2
Rocky|(1994)|9.2
The Handmaiden|(1994)|9.2
Ace in the Hole|(1994)|9.2
Monsters, Inc.|(1994)|9.2
White Heat|(1994)|9.2
La Haine|(1994)|9.2
It Happened One Night|(1994)|9.2
Lagaan: Once Upon a Time in India|(1994)|9.2
The Princess Bride|(1994)|9.2
Gangs of Wasseypur|(1994)|9.2
Before Sunset|(1994)|9.2
In the Mood for Love|(1994)|9.2
The Help|(1994)|9.2
Butch Cassidy and the Sundance Kid|(1994)|9.2
The Terminator|(1994)|9.2
PK|(1994)|9.2
Akira|(1994)|9.2
Paris, Texas|(1994)|9.2
Drishyam|(1994)|9.2
Aladdin|(1994)|9.2
The Invisible Guest|(1994)|9.2
The Irishman|(1994)|9.2
Castle in the Sky|(1994)|9.2
